,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
FRUCTOSE_16_DIPHOSPHATE,-3.909135922078814,-3.909135922078814,-3.909135922078814,12.331575306319284,-3.909135922078814,-3.909135922078814,22.0225543303452,4.737229584123714,-3.909135922078814,-3.909135922078814,-3.909135922078814,-3.909135922078814,-3.909135922078814
FRUCTOSE_6P,6.073053259896321,-7.36972020575454,1.5190160092217528,13.082376276945817,7.6508237440465265,-7.36972020575454,17.063592172512784,-7.36972020575454,-7.36972020575454,-7.36972020575454,6.199179977658559,-7.36972020575454,-7.36972020575454
GAP,-4.2859902309583795,-4.2859902309583795,14.372178877187746,-4.2859902309583795,-4.2859902309583795,-4.2859902309583795,21.31691963286578,-4.2859902309583795,-4.2859902309583795,-4.2859902309583795,-4.2859902309583795,7.1708037995302725,-4.2859902309583795
CPD_2961,9.53062369941145,-3.056095846954838,-3.056095846954838,-3.056095846954838,-3.056095846954838,11.213369097000518,-3.056095846954838,-3.056095846954838,-3.056095846954838,9.816965673136437,-3.056095846954838,-3.056095846954838,-3.056095846954838
2_KETO_3_DEOXY_6_P_GLUCONATE,-0.8112068937888743,-0.8112068937888743,-0.8112068937888743,-0.8112068937888743,-0.8112068937888743,9.734482725466505,-0.8112068937888743,-0.8112068937888743,-0.8112068937888743,-0.8112068937888743,-0.8112068937888743,-0.8112068937888743,-0.8112068937888743
G3P,-3.231385839669702,15.774892500175564,-3.231385839669702,-3.231385839669702,19.770351736191135,-3.231385839669702,-3.231385839669702,-3.231385839669702,-3.231385839669702,-3.231385839669702,-3.231385839669702,-3.231385839669702,-3.231385839669702
PHOSPHO_ENOL_PYRUVATE,-1.8750331761454575,-1.8750331761454575,-1.8750331761454575,-1.8750331761454575,-1.8750331761454575,-1.8750331761454575,22.500398113745515,-1.8750331761454575,-1.8750331761454575,-1.8750331761454575,-1.8750331761454575,-1.8750331761454575,-1.8750331761454575
PYRUVATE,9.873779886091771,-11.646780510995272,-11.646780510995272,11.493817754293515,-11.646780510995272,-11.646780510995272,-11.646780510995272,8.719289973257107,-11.646780510995272,9.707886443585043,9.964700615106288,8.795064091582423,11.326144302055507
ACETYL_COA,-2.3351710945444335,-2.3351710945444335,-2.3351710945444335,-2.3351710945444335,-2.3351710945444335,-2.3351710945444335,-2.3351710945444335,-2.3351710945444335,-2.3351710945444335,-2.3351710945444335,-2.3351710945444335,11.273936936499815,14.412945103488944
SUC,-6.059256803229555,-6.059256803229555,-6.059256803229555,-6.059256803229555,-6.059256803229555,-6.059256803229555,19.83211401843316,-6.059256803229555,-6.059256803229555,7.006835675624103,7.4752298360766805,4.34810402809379,9.81177086760875
MAL,-3.7172556408429216,-3.7172556408429216,-3.7172556408429216,-3.7172556408429216,-3.7172556408429216,-3.7172556408429216,23.679707873704658,-3.7172556408429216,17.21010417556752,-3.7172556408429216,-3.7172556408429216,-3.7172556408429216,-3.7172556408429216
FUM,-7.122466747394231,16.867652573978717,-7.122466747394231,16.93740559356672,8.19616534400458,-7.122466747394231,-7.122466747394231,-7.122466747394231,-7.122466747394231,-7.122466747394231,5.7549315565669215,-7.122466747394231,9.22357891103688
CIT,-6.275949052868221,21.38691991652016,11.720878592887724,-6.275949052868221,5.979668965826077,17.396074000580043,-6.275949052868221,-6.275949052868221,-6.275949052868221,-6.275949052868221,-6.275949052868221,-6.275949052868221,-6.275949052868221
GLYCERATE,-2.7912612488114625,-2.7912612488114625,-2.7912612488114625,-2.7912612488114625,-2.7912612488114625,23.194301499206546,-2.7912612488114625,-2.7912612488114625,-2.7912612488114625,-2.7912612488114625,-2.7912612488114625,7.509572237719542,-2.7912612488114625
PPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THIAMINE_PYROPHOSPHATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIBOFLAVIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADENOSYLCOBALAMIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDP_MANNOSE,-3.712331554333396,21.712549776927474,-3.712331554333396,-3.712331554333396,-3.712331554333396,19.123097320739898,-3.712331554333396,-3.712331554333396,-3.712331554333396,-3.712331554333396,-3.712331554333396,-3.712331554333396,-3.712331554333396
SUCROSE,-7.480257778419338,-7.480257778419338,-7.480257778419338,-7.480257778419338,5.375261481026176,8.97466343376214,8.15570976305547,1.5394220314874705,-7.480257778419338,-7.480257778419338,6.352659330881919,5.2500409904640515,9.233789639838802
HYDROGEN_MOLECULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETOH,-2.050216180598067,-2.050216180598067,-2.050216180598067,-2.050216180598067,-2.050216180598067,23.529892033984137,-2.050216180598067,-0.9775140474054105,-2.050216180598067,-2.050216180598067,-2.050216180598067,-2.050216180598067,-2.050216180598067
PROPIONATE,-0.8239466700071709,-0.8239466700071709,-0.8239466700071709,-0.8239466700071709,-0.8239466700071709,-0.8239466700071709,-0.8239466700071709,-0.8239466700071709,-0.8239466700071709,-0.8239466700071709,-0.8239466700071709,9.887360040086044,-0.8239466700071709
PROPANE_1_2_DIOL,-0.9658836075880082,-0.9658836075880082,-0.9658836075880082,-0.9658836075880082,-0.9658836075880082,-0.9658836075880082,11.590603291056118,-0.9658836075880082,-0.9658836075880082,-0.9658836075880082,-0.9658836075880082,-0.9658836075880082,-0.9658836075880082
CPD_10353,-2.887885218776198,9.780945178974287,-2.887885218776198,-2.887885218776198,-2.887885218776198,-2.887885218776198,21.98579222756389,-2.887885218776198,-2.887885218776198,-2.887885218776198,-2.887885218776198,-2.887885218776198,-2.887885218776198
BUTANEDIOL,-1.9133598035646209,-1.9133598035646209,-1.9133598035646209,22.960317642775465,-1.9133598035646209,-1.9133598035646209,-1.9133598035646209,-1.9133598035646209,-1.9133598035646209,-1.9133598035646209,-1.9133598035646209,-1.9133598035646209,-1.9133598035646209
BUTANOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
