OTU_ID	ALC_19	ALC_20	CIR_19	My_20	Pty_20	V3_20	VT_20
16d4ee39d4468351b3a62dbd64d29ed9	38	0	0	0	0	0	0
19253f322ca741e055d16acefd9c14ea	219	299	0	0	0	0	0
19a09f2ef2fb6940430d0296d090385e	0	0	0	0	0	221	0
19f06277afd9bb419653686eb8c9d231	91	0	0	0	0	0	0
1ac106270bb7b5a61411bf04fe9905fc	0	0	0	0	18	0	0
1ae726661124d5320ae33980b88553b0	0	245	0	0	0	0	0
1be55386fc32b346e10e015496e60afc	0	0	18	1424	310	0	0
1c939b728d70eb1bab0f18e441de5968	28.5	45.5	26	2967.5	590.5	0	0
1ccebacfd7adaa51e319a25adf4dd9b2	0	0	0	0	0	48.5	0
1f31598fee2ceed304f69b6f499c6a2b	0	58	0	0	0	0	0
1fd988c645d683e759e00059aebcb3a8	576	0	0	0	0	0	0
20d72ffc8c593ac5c2e671878379f3b8	0	156	0	0	0	0	0
229d0eb223f76254fea2d14a36c815c9	0	917.5	0	0	0	0	0
23c7ddf7cf981b12958e8cc5fb5c3214	0	0	0	19	0	0	0
251cc7bc965d37e8931e2bf35f2f29f4	0	0	0	0	0	17.33	0
2534090b36e60a1c88f41c390780fe39	0	0	0	0	0	13	0
26f2c50f1945e6d8383ca0918762b5a9	0	0	0	0	0	54	0
2a8b9bb6fab9f06da548a13f0742c437	5	0	0	0	0	0	0
2ad76d7a1c2addc9bc08ffeb7b94fefe	15.33	0	0	0	0	0	0
2f4b747d68385e4153e1ddf949c76c7b	0	0	0	0	0	263	0
2f84b6dc04404021489c1a46eaeb9ce8	0	0	0	0	0	0	129
31314369a8bd18759cf9a518c413b64d	0	20	0	0	0	0	0
31ba5b84c76100d0ffdcd3e07fd60aa8	0	0	0	0	0	44	0
31e12cc8da8ef07a9df909e04f39b951	60	0	0	0	0	0	0
31fd22db9c77a258998f927784a93d92	63.33	0	0	0	0	0	0
329c79c92d52ccf8a5e00f47c766b9f6	0	0	0	0	179	0	0
3426b29e017e53fce7e578f7d833c33c	15	0	0	0	0	0	0
3526148948d7649275b5f97839af6cc2	0	0	6	0	0	0	0
3742d8b978e5158d4d030f9731571e37	0	0	0	0	0	23	0
37f7bb4a23468fc0baef6011ad7d2194	0	0	0	437	0	0	0
3807b6f8ad4ea6e902bc02adce85b045	0	0	0	0	0	108	0
380d48492460c29713c68d574bb649af	34.67	0	0	0	0	0	0
394cc04e6b21ccf5c2e1f4826ce8d2b0	0	0	0	0	0	5.5	0
3cbac06f1e2457c6941236b4e9b7d24b	0	382.5	0	0	0	0	0
3e4a816d5da7c519c457794b95177ac2	0	0	0	43	0	0	0
3f6ae1765ab7b65f7f96c6404198dffd	0	0	0	0	340.5	0	0
40332f51819649b050d9fb752e95fb94	0	357	0	0	0	0	0
40bfb129a20c2aea3c9631c88141db5f	0	0	0	0	0	25.5	0
412e52ffead9d3876075b2b020c18e38	23	0	0	0	0	0	0
419f4f6586d5b066c1c6361376f1c689	8.5	0	0	0	0	0	0
42412680f1348ff7e4b5a45a67ca60ee	0	0	0	0	276	0	0
4778ef5e37c831f4d2ed1727c3512cb8	121.5	0	0	0	0	0	0
47cf1e8e1ee47c067fa77bd11e94cb23	86	703	0	0	0	0	0
48c865dda0d57a9e17ec165210ffde1a	0	0	0	0	27	0	0
49f6bfd765d36111372658312230222b	0	0	0	0	42	0	0
4a7064f21adc047c4e1ef4379528dff2	0	0	0	150	0	0	0
4ad5e97eae8c005e499ee050ee6d25d6	0	49	0	0	0	0	0
4ada9fc9c19470f420c54dec1ba605de	57.33	0	0	0	0	0	0
4c77b631766a8e1edc07b7c426bf0c04	0	0	24.5	0	0	0	0
4cb6665992ea91545070bb434af53045	0	0	153	208	0	0	0
4d1942ab2822b7932dc710aed9cc7327	0	0	0	173	0	0	0
4d5e43001504e1a8b5acaec037d6aa44	0	0	30	0	0	0	0
5046cfe985e74ad93cbcee7831491f70	0	0	0	0	2183	0	0
50f0eb01ffa906db1a2c0268f442d019	0	0	0	115	0	0	0
511c900fd6cb86343f776ea7c1d24b12	0	0	0	0	0	37	0
51697479c20a3199ddf2b6dc04be3fab	0	0	0	51	0	0	0
5206dc622fa700c642ad19e56d809b9c	250	683	0	0	0	0	0
53924ec3569cfd99e0e04acc9cfa4629	0	0	0	37	0	0	0
53c83c504568b536702c8c3069b2db93	0	0	0	0	0	0	4711
581cc9920db2222ddcc02eb594981655	3.5	0	0	0	0	0	0
5a52b5d9c2dca909fc200a73a5b019a8	0	0	35	0	0	0	0
5b1652340ca9a059f64817865b2432ce	43	0	0	0	0	0	0
5b45fe9bd287d49b12ae7d5e98c73b17	0	0	0	0	0	1066	0
5d76854c56fa2558440f9b5aa6b1f277	0	0	0	0	0	35.75	0
5d854b2cbe5d6e06d02080cc5bcf3c23	0	50	0	0	0	0	0
5e310b5a03032608c84b2a394ce232ab	0	0	0	0	0	10	0
5fe2460272eaa4e013e49ce616ece44f	0	160	0	0	0	0	0
6025a943ded84f79180041637e0ee966	0	0	0	34	0	0	0
611cab1685d795da3fd7cdf1e5f25b2f	0	0	0	0	0	179	0
62cef705cd012b737ebbbbea7a4f1499	0	53	0	0	0	0	0
658e5fc67742548f8e1a4ff773fe7323	0	0	5525	0	5996	0	0
65d3b33892c77b2f2de40b8dc0a4bd6f	0	0	0	0	0	1175	0
6778b354f718b1b05e393fa9ce8d047a	75	0	0	0	0	0	0
6859ecc3ad09ccd1633647d3192a2f07	0	75	0	0	0	0	0
695aa859ce478cddeab2a2c99d83cae8	0	0	25	0	0	0	0
6ab1624c3f24d590cb44c55ffe92ce3e	0	177	0	0	0	0	0
6b227bd7b4dc696e797e636e73c64c04	0	0	0	0	185	0	0
6b9addb4fdea71e1f4c7943a6155c1ec	96	100.5	131.5	7795.5	1514.5	0	0
6c5068f4faa3bc0a7825efeb9d10721a	0	0	0	140	0	0	0
6c550bf11af7ad12f9a4e9d1cf60237a	0	0	0	0	0	10	0
6fdce823367f1ca5d2683db7e8d10567	0	888	0	0	0	0	0
703983c00e11cd6cada543b2b9bf33e3	0	0	0	0	0	62	0
711cbcb8d01b51277b6d56dbc49809f9	0	0	0	0	0	2419	0
716eb5d680831cc27cc86c2d80d04adb	804.5	1464.5	0	0	0	0	0
72e0ada7e711128d6c91b4afb7eef46e	0	15	0	0	0	0	0
73be4c5469ae8f5ec55f7e94e626d9cc	20	0	0	0	0	0	0
75eab3101eaf1932a16563736ac37637	0	0	0	0	0	62	0
7942f376d6cb27ec089a1e3593bb3372	0	0	0	0	0	141	0
795259414edb6d3baa8eb94590ebb4d8	0	0	211	0	0	0	0
79d935348bf75b1936228bef11077350	0	0	0	0	54	0	0
7a1f13104e2ef69ec9f8d4c2e18f95d1	0	0	0	0	0	49	0
7a32ef99bfc67e3f4e002950d92cd2c1	0	0	0	0	139.25	0	0
7b946db164c9abf85ef24aadbd859021	170	0	0	0	0	0	0
7c78b9564d2e199127686d30968d3faf	0	0	65	0	0	0	0
7d5ba99a4eb210c2750ba7ce242ffe29	0	33	0	0	0	0	0
7d5bda1500dc22dd830447bc0e7667c3	0	73	0	0	0	0	0
7ed9d26c278ddbde0d4085b5b61a098d	249.5	805.5	0	0	0	0	0
7f2970ff819ad932b8916cd5bfdf76a6	0	0	0	0	0	32	0
7f431c3ac17088be57accee998444d31	0	0	0	0	175.75	0	0
7f497afb75b6b63ca03c2c5db7daf5ef	36	0	0	0	0	0	0
7fdc301b3b35fff000bbd7ee972047b6	0	50	0	0	0	0	0
830070559a9b698821fca20f35085a1d	107	0	0	0	0	0	0
8445a09a7975d0eb207f46ff52fea635	0	0	133	0	0	0	0
84a5034443f4e3f283102f3138033ca7	0	0	0	0	90	0	0
8568eb9ce5989e39f8d7dddb3caab022	0	0	0	0	0	50	0
858057e3f8a736a60c3f382ec56be57e	0	0	1790	0	0	0	0
864f56f354622ec9267a46be4d713267	0	0	0	0	0	0	9161
8a873de09b933f10caee2657e6c961ce	0	0	0	0	1536.5	0	0
8a9d4ded856fb97e9b5127ccca4c0be1	0	0	0	0	0	30	0
