,0
597,PWY-5162
598,PWY-6163
599,PWY-6164
600,PWY-7222
601,PWY-7221
602,ASPARTATESYN-PWY
603,HOMOSER-THRESYN-PWY
604,HOMOSERSYN-PWY
605,GLUTORN-PWY
606,PWY-5853
607,PWY-5837
608,HEXPPSYN-PWY
609,PWY-5849
610,PWY-5120
611,PWY-5063
612,PWY-5837
613,PWY-5027
614,PWY-6638
615,PWY-6637
616,SERSYN-PWY
617,CYSTSYN-PWY
618,GLUTORN-PWY
619,PWY-7700
620,PWY-2361
621,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY
622,TOLUENE-DEG-4-OH-PWY
623,TCA
624,GLYOXYLATE-BYPASS
625,PWY0-1221
626,PWY0-823
627,PUTDEG-PWY
628,PWY-5344
629,PWY-5162
630,P183-PWY
631,PWY-7220
632,PWY-7219
633,PWY-5340
634,PWY-6537
635,PWY-6535
636,PWY-5893
637,PWY-5895
638,PWY-5837
639,PWY-5162
640,P183-PWY
641,PWY-2503
642,TOLUENE-DEG-CATECHOL-PWY
643,PWY-5419
644,PWY-5162
