Giver,Reciver,Interaction Coefficient,Sample,N Open
Hyum,Brla,-0.9985628438537598,My_20,14
Hyum,Teas,-0.7882168154819368,My_20,14
Hyum,Afia,-0.9931907129901105,My_20,14
Hyum,Chae,-0.9851410281705901,My_20,14
Hyum,Beae,-0.9898021396366306,My_20,14
Hyum,Deae,0.28714569278610513,My_20,14
Meis,Acer,0.11472340721894368,My_20,14
Meis,Seum,0.740294967948907,My_20,14
Meis,Meus,0.9937373239049145,My_20,14
Meis,Raer,-0.8021768078769782,My_20,14
Meis,Boea,-0.8650698750518739,My_20,14
Meis,Hyum,-0.29057288175560847,My_20,14
Meis,Meis,0.0,My_20,14
Meis,Brla,0.33735825252681795,My_20,14
Meis,Teas,0.9999999999999999,My_20,14
Meis,Afia,0.6193821491867422,My_20,14
Meis,Chae,-0.9967620164886007,My_20,14
Meis,Beae,-0.9995712271807704,My_20,14
Meis,Deae,0.7047782591393096,My_20,14
Brla,Acer,-0.24104515080786673,My_20,14
Brla,Seum,-0.00019566804999004894,My_20,14
Brla,Meus,-0.5800041468302983,My_20,14
Brla,Raer,-5.943545659984526e-07,My_20,14
Brla,Boea,0.00335459592795934,My_20,14
Brla,Hyum,0.00043654746880722624,My_20,14
Brla,Meis,0.00018818218048763496,My_20,14
Brla,Brla,0.0,My_20,14
Brla,Teas,-1.757857631797538e-06,My_20,14
Brla,Afia,-4.227664475390431e-05,My_20,14
Brla,Chae,-1.649360356945253e-05,My_20,14
Brla,Beae,-0.4819938245264507,My_20,14
Brla,Deae,-0.003769660421205407,My_20,14
Teas,Acer,0.025238901343790122,My_20,14
Teas,Seum,-0.0017268580064126228,My_20,14
Teas,Meus,-0.991465969033081,My_20,14
Teas,Raer,-0.11631275073230028,My_20,14
Teas,Boea,-0.7779663109856264,My_20,14
Teas,Hyum,-0.009833725435813952,My_20,14
Teas,Meis,0.008300227871083254,My_20,14
Teas,Brla,-0.8508167319287177,My_20,14
Teas,Teas,0.0,My_20,14
Teas,Afia,0.005774629311653077,My_20,14
Teas,Chae,0.0005585929434786917,My_20,14
Teas,Beae,0.03043210011111515,My_20,14
Teas,Deae,0.006550419582017904,My_20,14
Afia,Acer,0.005398481364037084,My_20,14
Afia,Seum,-0.00017507962921981869,My_20,14
Afia,Meus,0.00275445044845783,My_20,14
Afia,Raer,0.003107302459636835,My_20,14
Afia,Boea,-0.0003332775983748597,My_20,14
Afia,Hyum,-0.0011116587231039608,My_20,14
Afia,Meis,0.00016772555882629977,My_20,14
Afia,Brla,-0.004179293800927668,My_20,14
Afia,Teas,-3.648451222587395e-05,My_20,14
Afia,Afia,0.0,My_20,14
Afia,Chae,0.0007865495516636227,My_20,14
Afia,Beae,0.0009486407676030179,My_20,14
Afia,Deae,0.0015256284925673675,My_20,14
Chae,Acer,-0.381042184990158,My_20,14
Chae,Seum,0.0008068087797719174,My_20,14
Chae,Meus,0.003508225646627702,My_20,14
Chae,Raer,0.0006626126255268813,My_20,14
Chae,Boea,-0.16465317214824443,My_20,14
Chae,Hyum,0.0013457618088733054,My_20,14
Chae,Meis,8.972958609393213e-05,My_20,14
Chae,Brla,-0.1665299303108675,My_20,14
Chae,Teas,-0.0015685578501761597,My_20,14
Chae,Afia,0.00046396043618697887,My_20,14
Chae,Chae,0.0,My_20,14
Chae,Beae,-0.7484392426405575,My_20,14
Chae,Deae,-0.006565405850733228,My_20,14
Beae,Acer,-0.25532130030836797,My_20,14
Beae,Seum,-0.00021108757839318848,My_20,14
Beae,Meus,-0.5984496056870248,My_20,14
Beae,Raer,-5.976806475542838e-06,My_20,14
Beae,Boea,0.0036173349934731746,My_20,14
Beae,Hyum,0.00047078705900050404,My_20,14
Beae,Meis,0.00020296700078815505,My_20,14
Beae,Brla,-0.5204729519619371,My_20,14
Beae,Teas,-6.066194984317353e-06,My_20,14
Beae,Afia,-9.775658320325459e-05,My_20,14
